compound,phase,fukui_function
0,water,0.2178
0,gas,0.2325
0,decaline,0.231
1,water,0.2225
1,gas,0.2259
1,decaline,0.2278
2,water,0.2328
2,gas,0.2475
2,decaline,0.248
3,water,0.2339
3,gas,0.2514
3,decaline,0.2503
4,water,0.2392
4,gas,0.2478
4,decaline,0.2475
5,water,0.2425
5,gas,0.236
5,decaline,0.2403
6,water,0.248
6,gas,0.2352
6,decaline,0.2414
7,water,0.2549
7,gas,0.2431
7,decaline,0.249
8,water,0.2565
8,gas,0.247
8,decaline,0.2513
9,water,0.2586
9,gas,0.2558
9,decaline,0.2585
10,water,0.2597
10,gas,0.2499
10,decaline,0.2546
11,water,0.2597
11,gas,0.2523
11,decaline,0.2557
12,water,0.2598
12,gas,0.2471
12,decaline,0.2528
13,water,0.2628
13,gas,0.2599
13,decaline,0.2618
14,water,0.2635
14,gas,0.2558
14,decaline,0.2603
15,water,0.2637
15,gas,0.2626
15,decaline,0.2645
16,water,0.2659
16,gas,0.2593
16,decaline,0.2633
17,water,0.2662
17,gas,0.2478
17,decaline,0.2501
18,water,0.2691
18,gas,0.2515
18,decaline,0.253
19,water,0.2709
19,gas,0.2617
19,decaline,0.2663
20,water,0.2845
20,gas,0.2745
20,decaline,0.2791
21,water,0.2855
21,gas,0.2731
21,decaline,0.279
22,water,0.2869
22,gas,0.278
22,decaline,0.2821


