compound,phase,neutral_charge
0,water,0.0143
0,gas,0.0338
0,decaline,0.0242
1,water,0.016
1,gas,0.0348
1,decaline,0.0254
2,water,0.018
2,gas,0.0361
2,decaline,0.0269
3,water,0.0191
3,gas,0.037
3,decaline,0.0281
4,water,0.0191
4,gas,0.0375
4,decaline,0.0285
5,water,0.0196
5,gas,0.0373
5,decaline,0.0283
6,water,0.0201
6,gas,0.0356
6,decaline,0.0281
7,water,0.0207
7,gas,0.0379
7,decaline,0.0292
8,water,0.0207
8,gas,0.0381
8,decaline,0.0292
9,water,0.021
9,gas,0.0385
9,decaline,0.0297
10,water,0.021
10,gas,0.0386
10,decaline,0.0298
11,water,0.0213
11,gas,0.0354
11,decaline,0.028
12,water,0.0222
12,gas,0.0373
12,decaline,0.0298
13,water,0.0233
13,gas,0.0397
13,decaline,0.0313
14,water,0.0238
14,gas,0.0404
14,decaline,0.032
15,water,0.0239
15,gas,0.0384
15,decaline,0.0309
16,water,0.0256
16,gas,0.0382
16,decaline,0.0318
17,water,0.0263
17,gas,0.0402
17,decaline,0.0329
18,water,0.0271
18,gas,0.0388
18,decaline,0.0325
19,water,0.0271
19,gas,0.0412
19,decaline,0.0341
20,water,0.0272
20,gas,0.0416
20,decaline,0.0341
21,water,0.0293
21,gas,0.0408
21,decaline,0.0346
22,water,0.0316
22,gas,0.0431
22,decaline,0.0369


